y"No.","キーワード検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","電話番号 5","FAX番号 5","電話番号 6","FAX番号 6","電話番号 7","FAX番号 7","電話番号 8","FAX番号 8","電話番号 9","FAX番号 9","電話番号 10","FAX番号 10","電話番号 11","FAX番号 11","電話番号 12","FAX番号 12","電話番号 13","FAX番号 13","電話番号 14","FAX番号 14","電話番号 15","FAX番号 15","電話番号 16","FAX番号 16","電話番号 17","FAX番号 17","電話番号 18","FAX番号 18","電話番号 19","FAX番号 19","電話番号 20","FAX番号 20","LocName","fX","fY","iConf","iLvl"
,,,,宇検食堂,894-3301,鹿児島県大島郡宇検村大字湯湾２９３７－８６,,,,0997-56-5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/宇検村/湯湾","129.29561","28.28211","5","5"
,,,,桜島サービスエリア／下り線レストラン,899-5431,鹿児島県姶良市西餅田２３５６,,,,0995-65-5621,,,0995-65-9140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良市/西餅田/２３５６番地","130.61618","31.72667","5","7"
,,,,桜島サービスエリア／上り線レストラン,899-5431,鹿児島県姶良市西餅田２４１４,,,,0995-65-5611,,,0995-65-9142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良市/西餅田/２４１４番地","130.61501","31.72695","5","7"
,,,,レストランひかり,899-6201,鹿児島県姶良郡湧水町木場８３４－３,,,,0995-74-4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良郡/湧水町/木場/８３４番地","130.72630","31.95178","5","7"
,,,,レストランひかり,899-6201,鹿児島県姶良郡湧水町木場８３４－３,,,,0995-74-3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良郡/湧水町/木場/８３４番地","130.72630","31.95178","5","7"
,,,,れすとらん花ん華,891-0122,鹿児島県鹿児島市南栄１丁目８,,,,099-267-1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/南栄/一丁目/８番","130.52650","31.52233","5","7"
,,,,レストラン公園通り,891-3604,鹿児島県熊毛郡中種子町野間５３１３,,,,0997-27-0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/中種子町/野間/５３１３番地","130.96568","30.52784","5","7"
,,,,公園通り,891-3604,鹿児島県熊毛郡中種子町野間５３１３,,,,0997-27-0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/中種子町/野間/５３１３番地","130.96568","30.52784","5","7"
,,,,ロイヤルホスト／西鹿児島店,890-0055,鹿児島県鹿児島市上荒田町２０－１,,,,099-251-8877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/上荒田町/２０番","130.54294","31.57679","5","7"
,,,,もみの木,897-0006,鹿児島県南さつま市加世田本町４－１,,,,0993-52-2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田本町/４番","130.32300","31.42103","5","7"
,,,,パルムセントラルキッチン,894-0502,鹿児島県奄美市笠利町大字万屋１３３７－１,,http://www.amami-palm.co.jp,,0997-63-2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/笠利町大/万屋","129.71062","28.44423","5","6"
,,,,フェニックス,891-7601,鹿児島県大島郡天城町大字与名間６０８－１,,,,0997-85-4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/天城町/与名間","128.89537","27.87889","5","5"
,,,,喫茶ユーカリ,892-0828,鹿児島県鹿児島市金生町７－１０,,,,099-226-2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/金生町/７番","130.55795","31.59232","5","7"
,,,,ユーカリ,892-0828,鹿児島県鹿児島市金生町７－１０,,,,099-226-2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/金生町/７番","130.55795","31.59232","5","7"
,,,,ピア,896-0013,鹿児島県いちき串木野市栄町１８８－２,,,,0996-32-0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/栄町/１８８番地","130.26704","31.71595","5","7"
,,,,サニーズ,895-0005,鹿児島県薩摩川内市永利町４３６７－１３,,,,0996-20-3454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/永利町/４３６７番地","130.35373","31.80419","5","7"
,,,,ファミリアーレ・キッチン,890-0062,鹿児島県鹿児島市与次郎１丁目１１－１－１Ｆ,,,,099-813-0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/与次郎/一丁目/１１番","130.56502","31.57027","5","7"
,,,,四季彩我竜,899-2201,鹿児島県日置市東市来町湯田２９５１,,,,099-218-5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/日置市/東市来町湯田","130.32916","31.67516","5","5"
,,,,屋久島オリオン,891-4403,鹿児島県熊毛郡屋久島町原９１４－３２,,,,0997-47-3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/屋久島町/原","130.58195","30.24418","5","5"
,,,,ステーキハンバーグ＆サラダバーけん鹿児島七ツ島店,891-0144,鹿児島県鹿児島市下福元町６７２１－８,,http://www.steak-ken.com,,099-210-8229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/下福元町/６７２１番地","130.51085","31.48393","5","7"
,,,,生パスタｄｉｎｉｎｇ小麦屋,891-3604,鹿児島県熊毛郡中種子町野間５１７２－６,,,,0997-27-2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/中種子町/野間/５１７２番地","130.96307","30.53283","5","7"
,,,,田園,891-3704,鹿児島県熊毛郡南種子町中之下１９２２－７,,,,0997-26-0686,0997-26-0686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/南種子町/中之下/１９２２番地","130.90250","30.40731","5","7"
,,,,もみの木,897-0006,鹿児島県南さつま市加世田本町４－１,,,,,0993-52-2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田本町/４番","130.32300","31.42103","5","7"
,,,,レストランフルール,892-0821,鹿児島県鹿児島市名山町１１－８,,,,099-226-3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/名山町/１１番","130.55988","31.59518","5","7"
,,,,コーヒ＆レストランあじ花,892-0816,鹿児島県鹿児島市山下町１６－４,,,,099-224-4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/山下町/１６番","130.55865","31.59831","5","7"
,,,,和風レストランわらじ,896-0026,鹿児島県いちき串木野市昭和通１１６,,,,0996-32-0781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/いちき串木野市/昭和通/１１６番地","130.27180","31.71519","5","7"
,,,,レストランフッド,897-0006,鹿児島県南さつま市加世田本町１６－１２,,,,0993-53-6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田本町/１６番","130.32257","31.41986","5","7"
,,,,レストランボリジ,899-4316,鹿児島県霧島市国分上小川１１５０－１,,,,0995-47-1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/国分上小川","130.77138","31.72386","5","5"
,,,,レストランにっぽ里,891-1205,鹿児島県鹿児島市犬迫町３０６０－６,,,,099-238-7020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/犬迫町/３０６０番地","130.50096","31.63090","5","7"
,,,,オムライスレストランポムの城,890-0062,鹿児島県鹿児島市与次郎２丁目４－３８,,,,099-812-4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/与次郎/二丁目/４番","130.56287","31.56233","5","7"
,,,,レストランすまいる,899-5115,鹿児島県霧島市隼人町東郷１３２１－３１,,,,0995-42-0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/隼人町東郷/１３２１番地","130.75401","31.77534","5","7"
,,,,レストランすまいる,899-5115,鹿児島県霧島市隼人町東郷１３２１－３１,,,,0995-42-0962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/隼人町東郷/１３２１番地","130.75401","31.77534","5","7"
,,,,レストラン・ル・リヴィエル,895-0213,鹿児島県薩摩川内市城上町８６９－４,,,,0996-30-2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/城上町","130.30191","31.87947","5","5"
,,,,カジュアルレストランまき,890-0062,鹿児島県鹿児島市与次郎１丁目１０－２８,,,,099-257-7929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/与次郎/一丁目/１０番","130.56685","31.56959","5","7"
,,,,レストランウチエ,891-2124,鹿児島県垂水市錦江町１－１０６,,,,0994-32-3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/垂水市/錦江町/１番地","130.69492","31.48820","5","7"
,,,,和風レストラン八一,895-1401,鹿児島県薩摩川内市入来町副田５９５０－１３,,,,0996-44-2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/入来町副田/５９５０番地","130.43298","31.81711","5","7"
,,,,レストランアイ,899-6207,鹿児島県姶良郡湧水町米永５８５－３７,,,,0995-74-2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/姶良郡/湧水町/米永/５８５番地","130.71547","31.94667","5","7"
,,,,レストランおおすみ,899-8106,鹿児島県曽於市大隅町下窪町１４６,,,,099-482-1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/曽於市/大隅町下窪町/１４６番地","131.00577","31.58284","5","7"
,,,,プチレストラン吉亭,899-7103,鹿児島県志布志市志布志町志布志２丁目１－１３,,,,099-473-0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/志布志市/志布志町志布志/二丁目/１番","131.09952","31.47714","5","7"
,,,,かもがわレストラン,891-4311,鹿児島県熊毛郡屋久島町安房７８,,,,0997-46-2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/屋久島町/安房/７８番地","130.65472","30.31460","5","7"
,,,,あまみ農業協同組合与論事業本部／レストラン味覚,891-9301,鹿児島県大島郡与論町大字茶花６４,,,,0997-97-3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/与論町/茶花","128.41473","27.04818","5","5"
,,,,レストランせりよさ,891-9214,鹿児島県大島郡知名町大字知名５２０,,,,0997-93-3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/知名町/知名/５２０番地","128.57321","27.33199","5","7"
,,,,ヒカリレストラン,891-9301,鹿児島県大島郡与論町大字茶花２５９,,,,0997-97-2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/与論町/茶花","128.41473","27.04818","5","5"
,,,,レストランかちもり,899-6401,鹿児島県霧島市溝辺町有川２３５６,,,,0995-59-3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/溝辺町有川/２３５６番地","130.67036","31.80285","5","7"
,,,,オムライスレストランワイズポム,891-0115,鹿児島県鹿児島市東開町７－１Ｆ,,,,099-263-1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東開町/７番","130.53517","31.52797","5","7"
,,,,チェコレストランリトルプラハ,899-6404,鹿児島県霧島市溝辺町麓８７６－１５,,,,0995-58-2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/溝辺町麓/８７６番地","130.71362","31.79699","5","7"
,,,,あじさい,899-0201,鹿児島県出水市緑町３－３０,,,,0120-155954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/緑町/３番","130.35286","32.09176","5","7"
,,,,ホテルユニオン,890-0046,鹿児島県鹿児島市西田２丁目１２－３４,,,,0120-405801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/西田/二丁目/１２番","130.54163","31.58743","5","7"
,,,,ますたーの台所中山,891-0106,鹿児島県鹿児島市自由ヶ丘１丁目１－２６－１Ｆ,,,,0120-686377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/自由ケ丘/一丁目/１番","130.51453","31.54230","5","7"
,,,,鯨石庵,894-0026,鹿児島県奄美市名瀬港町２－１０,,,,0120-252221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/奄美市/名瀬港町/２番","129.49469","28.38096","5","7"
,,,,西洋料理Ｎａｒｉｋｉｙｏ,890-0021,鹿児島県鹿児島市小野１丁目１２－１,,,,099-228-5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/小野/一丁目/１２番","130.52815","31.61294","5","7"
,,,,屋久島観光センター・屋久島ギャラリーレスト,891-4205,鹿児島県熊毛郡屋久島町宮之浦７９９,gallery_rest@yksm-t.com,http://xn--3iqs55ayoa25z.com/shop/gallery_rest/,,0997-42-0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/屋久島町/宮之浦","130.57178","30.42496","5","5"
,,,,屋久島ギャラリーレスト,891-4205,鹿児島県熊毛郡屋久島町宮之浦７９９,gallery_rest@yksm-t.com,http://xn--3iqs55ayoa25z.com/shop/gallery_rest/,,0997-42-0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/屋久島町/宮之浦","130.57178","30.42496","5","5"
,,,,株式会社天文館むじゃき,892-0843,鹿児島県鹿児島市千日町５－８,,,,099-222-6904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/千日町/５番","130.55573","31.58946","5","7"
,,,,シーサイドホテル屋久島,891-4205,鹿児島県熊毛郡屋久島町宮之浦１２０８－９,,http://www.ssh-yakushima.co.jp,"                                                宿泊プランをチェック 8,500円～                                                                                                                                                ",0997-42-0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/熊毛郡/屋久島町/宮之浦/１２０８番地","130.57262","30.43235","5","7"
,,,,ホテルユニオン,890-0046,鹿児島県鹿児島市西田２丁目１２－３４,,http://www.union-h.co.jp,,099-253-5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/西田/二丁目/１２番","130.54163","31.58743","5","7"
,,,,霧島いわさきホテル,899-6603,鹿児島県霧島市牧園町高千穂３９５８,,http://www.iwasakihotels.com,"                                                宿泊プランをチェック 3,800円～                                                                                                                                                ",0995-78-8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/牧園町高千穂/３９５８番地","130.83604","31.90118","5","7"
,,,,六白亭,890-0046,鹿児島県鹿児島市西田２丁目１２－３４,,http://www.union-h.co.jp,,099-253-5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/西田/二丁目/１２番","130.54163","31.58743","5","7"
,,,,寿庵／荒田本店,890-0054,鹿児島県鹿児島市荒田１丁目６２－１３,,,,099-258-0555,,0120-676150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/荒田/一丁目/６２番","130.55251","31.57287","5","7"
,,,,グリル万天,892-0817,鹿児島県鹿児島市小川町１１－１９,,,,099-222-5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/小川町/１１番","130.56155","31.60012","5","7"
,,,,ロイヤルホスト／鹿児島店,890-0056,鹿児島県鹿児島市下荒田４丁目５１－１７,,,,099-251-8881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/下荒田/四丁目/５１番","130.55838","31.56715","5","7"
,,,,ウィッキーズ・ハウス（ＷＩＣＫＹ’Ｓ・ＨＯＵＳＥ）,892-0842,鹿児島県鹿児島市東千石町９－７ＢＦ,,,,099-227-0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/東千石町/９番","130.55362","31.59121","5","7"
,,,,ハッピーポイント,891-0133,鹿児島県鹿児島市平川町５２６９,,,,099-261-5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/平川町/５２６９番地","130.51981","31.43559","5","7"
,,,,ロイヤルホスト／城山店,892-0848,鹿児島県鹿児島市平之町１１－１５,,,,099-222-8887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/平之町/１１番","130.54848","31.59113","5","7"
,,,,あじ花,892-0816,鹿児島県鹿児島市山下町１６－４,,,,099-224-4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿児島市/山下町/１６番","130.55865","31.59831","5","7"
,,,,かいもん,895-0051,鹿児島県薩摩川内市東開聞町９－１１,,,,0996-23-5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/薩摩川内市/東開聞町/９番","130.30330","31.81772","5","7"
,,,,柚子の樹,893-0047,鹿児島県鹿屋市下堀町９５３２－２８,,,,0994-42-5514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/鹿屋市/下堀町/９５３２番地","130.83861","31.35660","5","7"
,,,,あじさい,899-0201,鹿児島県出水市緑町３－３０,,,,0996-62-5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/出水市/緑町/３番","130.35286","32.09176","5","7"
,,,,ブルドッグ,897-0003,鹿児島県南さつま市加世田川畑２３５９－２,,,,0993-52-2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田川畑/２３５９番地","130.32437","31.41649","5","7"
,,,,フッド,897-0006,鹿児島県南さつま市加世田本町１６－１２,,,,0993-53-3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田本町/１６番","130.32257","31.41986","5","7"
,,,,フッド,897-0006,鹿児島県南さつま市加世田本町１６－１２,,,,0993-53-6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/南さつま市/加世田本町/１６番","130.32257","31.41986","5","7"
,,,,ボリジ,899-4316,鹿児島県霧島市国分上小川１１５０－１,,,,0995-47-1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/国分上小川","130.77138","31.72386","5","5"
,,,,キュラ,891-3101,鹿児島県西之表市西之表１６８４６,,,,0997-24-3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/西之表市/西之表/１６８４６番地","130.97708","30.71054","5","7"
,,,,トマトアンドオニオン国分隼人店,899-5117,鹿児島県霧島市隼人町見次５７２－１,,,,0995-42-8066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/霧島市/隼人町見次/５７２番地","130.74132","31.73784","5","7"
,,,,サザンクロス,899-7306,鹿児島県曽於郡大崎町永吉８１５５－２,,,,099-476-4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/曽於郡/大崎町/永吉/８１５５番地","130.98856","31.41008","5","7"
,,,,浜千鳥館,894-0102,鹿児島県大島郡龍郷町瀬留１４３５,,,,0997-62-3778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"鹿児島県/大島郡/龍郷町/瀬留/１４３５番地","129.59328","28.41082","5","7"
