"No.","業種検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","座標X","座標Ｙ","icon","iLv","LocName","fX","fY","iConf","iLvl"
,,,,プチレストラン葡麗紅・ぶれいく,053-0006,北海道苫小牧市新中野町３丁目１３－８,,,,0144-36-2019,,,,,,,,,,,,"北海道/苫小牧市/新中野町/三丁目/１３番","141.61241","42.64236","5","7"
,,,,ゆうばり温泉ユーパロの湯,068-0422,北海道夕張市日吉１４,,,,0123-57-7726,,,,,,,,,,,,"北海道/夕張市/日吉/１４番地","141.99832","43.02986","5","7"
,,,,レストランありす,099-5602,北海道紋別郡滝上町旭町,,,,0158-28-5688,,,,,,,,,,,,"北海道/紋別郡/滝上町/旭町","143.08224","44.19455","5","5"
,,,,笑ふく園,073-0021,北海道滝川市本町３丁目３－２５,,,,0125-23-2828,,,,,,,,,,,,"北海道/滝川市/本町/三丁目/３番","141.90796","43.56104","5","7"
,,,,アイスワインのワイン工房＆レストラン,076-0017,北海道富良野市字下御料,info@north-country.co.jp,http://www.north-country.co.jp/winery.php,,0167-23-6091,,,,,,,,,,,,"北海道/富良野市/下御料","142.36375","43.34027","5","5"
,,,,ＩＷＢろまね,064-0804,北海道札幌市中央区南４条西２丁目７－５,,,,011-561-1612,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/二丁目/７番地","141.35570","43.05538","5","7"
,,,,あいねくらいねなはとむじく,063-0812,北海道札幌市西区琴似２条５丁目２－８,,,,011-644-2685,,,,,,,,,,,,"北海道/札幌市/西区/琴似二条/五丁目/２番","141.30183","43.07577","5","7"
,,,,アウル,049-3342,北海道二海郡八雲町山崎６１６－３８,,,,0137-68-2775,,,,,,,,,,,,"北海道/二海郡/八雲町/山崎","140.27605","42.31186","5","5"
,,,,赤い風車レストラン,040-0011,北海道函館市本町３２－９,,,,0138-54-3625,,,,,,,,,,,,"北海道/函館市/本町/３２番","140.75198","41.78756","5","7"
,,,,赤い風車,090-0067,北海道北見市緑ケ丘３丁目７－１６,,,,0157-31-0070,,,,,,,,,,,,"北海道/北見市/緑ケ丘/三丁目/７番","143.87402","43.82704","5","7"
,,,,株式会社阿寒町観光振興公社,085-0245,北海道釧路市阿寒町上阿寒２３線３８,,,,0154-66-2936,,,,,,,,,,,,"北海道/釧路市/阿寒町上阿寒/二十三線","144.14882","43.14482","5","6"
,,,,ＡｋｉｈｉｓａＨａｎｄａ,060-0063,北海道札幌市中央区南３条西３丁目,,,,011-252-9828,,,,,,,,,,,,"北海道/札幌市/中央区/南三条西/三丁目","141.35391","43.05660","5","6"
,,,,株式会社ＡＣＣＥＳＳ・Ｉｎｃ．アクセス・はこなび・会食宴会レストラン予約,041-0851,北海道函館市本通１丁目２６－２４,,,,0138-53-8221,,,,,,,,,,,,"北海道/函館市/本通/一丁目/２６番","140.75797","41.80011","5","7"
,,,,ａｇｏｒａ,060-0002,北海道札幌市中央区北２条西２丁目２３,,,,011-272-0068,,,,,,,,,,,,"北海道/札幌市/中央区/北二条西/二丁目/２３番地","141.35326","43.06398","5","7"
,,,,ＡｇｏｒａＳＡＰＰＯＲＯ,060-0062,北海道札幌市中央区南２条西１丁目９－５,,,,011-206-0096,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/一丁目","141.35716","43.05831","5","6"
,,,,ＡｇｏｒａＳＡＰＰＯＲＯ,060-0062,北海道札幌市中央区南２条西１丁目９－５,,,,,011-206-0097,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/一丁目","141.35716","43.05831","5","6"
,,,,旭川ワシントンホテル株式会社レストランティファニー,070-0031,北海道旭川市１条通６丁目左１０,,,,0166-22-5558,,,,,,,,,,,,"北海道/旭川市/一条通/六丁目","142.35698","43.76624","5","6"
,,,,旭山動物園東門ＧＡＲＤＥＮＴＥＲＲＡＣＥＬＩＯＮ,078-8205,北海道旭川市東旭川町倉沼,,,,0166-36-7888,,,,,,,,,,,,"北海道/旭川市/東旭川町倉沼","142.48790","43.75914","5","5"
,,,,麻布茶房,003-0004,北海道札幌市白石区東札幌４条１丁目１－１,,,,011-832-4545,,,,,,,,,,,,"北海道/札幌市/白石区/東札幌四条/一丁目/１番","141.38463","43.05525","5","7"
,,,,アザリーレストラン,041-0821,北海道函館市港町１丁目１０－１,,,,0138-44-1155,,,,,,,,,,,,"北海道/函館市/港町/一丁目/１０番","140.72853","41.80490","5","7"
,,,,アシェットキャプリス,042-0932,北海道函館市湯川町１丁目２－２０,,,,0138-59-3336,,,,,,,,,,,,"北海道/函館市/湯川町/一丁目/２番","140.78290","41.77494","5","7"
,,,,味工房サルルン,078-2641,北海道雨竜郡雨竜町第１０町内,,,,0125-77-2811,,,,,,,,,,,,"北海道/雨竜郡/雨竜町","141.89796","43.64259","5","3"
,,,,味処しゃこたん,046-0201,北海道積丹郡積丹町大字美国町字小泊２９－５,,,,0135-44-3215,,,,,,,,,,,,"北海道/積丹郡/積丹町/美国町","140.59235","43.29698","5","5"
,,,,アスコット,050-0072,北海道室蘭市高砂町５丁目８－１０,info@ascotweb.com,http://www.ascotweb.com/,,0143-44-1560,,,,,,,,,,,,"北海道/室蘭市/高砂町/五丁目/８番","141.03511","42.37396","5","7"
,,,,アストリア,085-0821,北海道釧路市鶴ケ岱１丁目１－１２,,,,0154-42-7909,,,,,,,,,,,,"北海道/釧路市/鶴ケ岱/一丁目/１番","144.39565","42.97660","5","7"
,,,,梓レストハウス,052-0103,北海道有珠郡壮瞥町字壮瞥温泉７５－１,,,,0142-75-2634,,,,,,,,,,,,"北海道/有珠郡/壮瞥町/壮瞥温泉/７５番地","140.85405","42.55721","5","7"
,,,,あずま亭レストラン,007-0845,北海道札幌市東区北４５条東１６丁目１－８,,,,011-785-3355,,,,,,,,,,,,"北海道/札幌市/東区/北四十五条東/十六丁目/１番","141.36671","43.11705","5","7"
,,,,アズレン（ＬＥＳＡＺＵＲＥＥＮＳ）,001-0017,北海道札幌市北区北１７条西２丁目１－１０,,,,011-757-2661,,,,,,,,,,,,"北海道/札幌市/北区/北十七条西/二丁目/１番","141.34933","43.08109","5","7"
,,,,あぜ道より道ファームレストラン,071-0526,北海道空知郡上富良野町東６線北１６号,,,,0167-45-3060,,,,,,,,,,,,"北海道/空知郡/上富良野町/東六線北","142.46451","43.40423","5","5"
,,,,ア．ターブル,069-1135,北海道夕張郡由仁町西三川８０６,,,,0123-86-2207,,,,,,,,,,,,"北海道/夕張郡/由仁町/西三川","141.79031","42.94552","5","5"
,,,,ア・ターブル,064-0807,北海道札幌市中央区南７条西４丁目２,,,,011-511-0122,,,,,,,,,,,,"北海道/札幌市/中央区/南七条西/四丁目/２番地","141.35298","43.05223","5","7"
,,,,厚岸味覚ターミナル・コンキリエ,088-1119,北海道厚岸郡厚岸町住の江２丁目２,,http://conchiglie.net/,,0153-52-4139,,,,,,,,,,,,"北海道/厚岸郡/厚岸町/住の江/二丁目/２番地","144.84494","43.05983","5","7"
,,,,厚岸味覚ターミナル・コンキリエ,088-1119,北海道厚岸郡厚岸町住の江２丁目２,,,,,0153-52-8139,,,,,,,,,,,"北海道/厚岸郡/厚岸町/住の江/二丁目/２番地","144.84494","43.05983","5","7"
,,,,アトリゑ,060-0061,北海道札幌市中央区南１条西３丁目,,,,011-272-5166,,,,,,,,,,,,"北海道/札幌市/中央区/南一条西/三丁目","141.35332","43.05905","5","6"
,,,,アド,052-0015,北海道伊達市旭町２３－２,,,,0142-23-1731,,,,,,,,,,,,"北海道/伊達市/旭町/２３番地","140.86475","42.46629","5","7"
,,,,Ａａｈａ,070-0002,北海道旭川市新富２条１丁目１４－１３,,,,0166-85-7654,,,,,,,,,,,,"北海道/旭川市/新富二条/一丁目/１４番","142.38286","43.78811","5","7"
,,,,有限会社網走原生牧場観光センター,099-3111,北海道網走市字藻琴２２５,gensei@guitar.ocn.ne.jp,http://www3.ocn.ne.jp/~gensei/,,0152-46-2121,,,,,,,,,,,,"北海道/網走市/藻琴/２２５番地","144.31216","43.95464","5","7"
,,,,有限会社網走原生牧場観光センター,099-3111,北海道網走市字藻琴２２５,,,,,0152-46-2270,,,,,,,,,,,"北海道/網走市/藻琴/２２５番地","144.31216","43.95464","5","7"
,,,,網走番屋,093-0004,北海道網走市南４条東６丁目８－２,,,,0152-67-9102,,,,,,,,,,,,"北海道/網走市/南四条東/六丁目/８番地","144.27722","44.02199","5","7"
,,,,アビヨン,058-0032,北海道様似郡様似町西町２０－５,,,,0146-36-3283,,,,,,,,,,,,"北海道/様似郡/様似町/西町","142.91039","42.13457","5","5"
,,,,ＡｍｅｒｉｃａｎＤｉｎｅｒＣａｔ’ｓ,090-0037,北海道北見市山下町３丁目５－１,,,,0157-33-1147,,,,,,,,,,,,"北海道/北見市/山下町/三丁目/５番","143.88448","43.80476","5","7"
,,,,亜里州,099-4113,北海道斜里郡斜里町本町２４,,,,0152-23-2231,,,,,,,,,,,,"北海道/斜里郡/斜里町/本町/２４番地","144.66774","43.91071","5","7"
,,,,アリーズニューヨーク札幌北一条店,060-0001,北海道札幌市中央区北１条西３丁目３－１０,,,,011-522-9455,,,,,,,,,,,,"北海道/札幌市/中央区/北一条西/三丁目/３番地","141.35234","43.06239","5","7"
,,,,アルカディア,093-0046,北海道網走市新町２丁目３－１,,,,0152-44-2152,,,,,,,,,,,,"北海道/網走市/新町/二丁目/３番","144.25092","44.01982","5","7"
,,,,ＡＲＵＧＯ,085-0013,北海道釧路市栄町８丁目２,,,,0154-24-2688,,,,,,,,,,,,"北海道/釧路市/栄町/八丁目/２番地","144.38759","42.98647","5","7"
,,,,アルタイル,006-0013,北海道札幌市手稲区富丘３条７丁目１－６６,,,,011-694-6447,,,,,,,,,,,,"北海道/札幌市/手稲区/富丘三条/七丁目/１番","141.24637","43.11293","5","7"
,,,,あるぷ,076-0034,北海道富良野市北の峰町１３－２６,,,,0167-39-0050,,,,,,,,,,,,"北海道/富良野市/北の峰町/１３番","142.36349","43.34246","5","7"
,,,,あるぺん,060-0042,北海道札幌市中央区大通西１１丁目,,,,011-271-7544,,,,,,,,,,,,"北海道/札幌市/中央区/大通西/十一丁目","141.34030","43.05890","5","6"
,,,,あるぽると,051-0011,北海道室蘭市中央町２丁目３－１９,,,,0143-24-1077,,,,,,,,,,,,"北海道/室蘭市/中央町/二丁目/３番","140.97253","42.31720","5","7"
,,,,アルメリア・ゲストハウス,098-6758,北海道稚内市宗谷岬,,,,0120-314903,,,,,,,,,,,,"北海道/稚内市/宗谷岬","141.93864","45.52216","5","5"
,,,,アルメリア・ゲストハウス,098-6758,北海道稚内市宗谷岬,,,,0162-76-2636,,,,,,,,,,,,"北海道/稚内市/宗谷岬","141.93864","45.52216","5","5"
,,,,アルメリア・ゲストハウス,098-6758,北海道稚内市宗谷岬,,,,,0162-76-2504,,,,,,,,,,,"北海道/稚内市/宗谷岬","141.93864","45.52216","5","5"
,,,,アレグリア,060-0063,北海道札幌市中央区南３条西５丁目１－１,,,,011-231-0880,,,,,,,,,,,,"北海道/札幌市/中央区/南三条西/五丁目/１番地","141.35078","43.05610","5","7"
,,,,アロニアの里・ピルカノ,070-8024,北海道旭川市神居町富沢,,,,0166-63-6955,,,,,,,,,,,,"北海道/旭川市/神居町富沢","142.32420","43.74335","5","5"
,,,,アロハ,084-0904,北海道釧路市新富士町４丁目８－２５,,,,0154-65-9894,,,,,,,,,,,,"北海道/釧路市/新富士町/四丁目/８番","144.34940","43.00423","5","7"
,,,,アローラダイニングバー,064-0804,北海道札幌市中央区南４条西５丁目１０－３,,,,011-261-0001,,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/五丁目/１０番地","141.35091","43.05556","5","7"
,,,,アローラダイニングバー,064-0804,北海道札幌市中央区南４条西５丁目１０－３,,,,,011-261-0067,,,,,,,,,,,"北海道/札幌市/中央区/南四条西/五丁目/１０番地","141.35091","43.05556","5","7"
,,,,アワグラス,048-1522,北海道虻田郡ニセコ町字曽我８８８－３,,http://www.tom-z.net/,,0136-43-2180,0136-43-2180,,,,,,,,,,,"北海道/虻田郡/ニセコ町/曽我","140.67783","42.82684","5","5"
,,,,アンサンブル,066-0004,北海道千歳市泉郷５５３－９,,,,0123-20-2430,,,,,,,,,,,,"北海道/千歳市/泉郷","141.73169","42.90188","5","5"
,,,,あんじゅ帯広店,080-0010,北海道帯広市大通南９丁目１５,,http://anju.cc/,,0155-26-5464,,,,,,,,,,,,"北海道/帯広市/大通南/九丁目/１５番地","143.20486","42.92211","5","7"
,,,,杏ダイニング,044-0081,北海道虻田郡倶知安町字山田１８３－４３,,,,0136-22-5151,,,,,,,,,,,,"北海道/虻田郡/倶知安町/山田","140.71840","42.86109","5","5"
,,,,アンティコ,090-0821,北海道北見市川沿町１３１－７,,,,0157-24-3626,,,,,,,,,,,,"北海道/北見市/川沿町/１３１番地","143.88266","43.78807","5","7"
,,,,ｅａｒｔｈ栗山,069-1501,北海道夕張郡栗山町桜丘１丁目７４－２４,,,,0123-72-3077,,,,,,,,,,,,"北海道/夕張郡/栗山町/桜丘/一丁目/７４番地","141.78377","43.06486","5","7"
,,,,アーバン亭,066-0012,北海道千歳市美々,,,,0123-46-5873,,,,,,,,,,,,"北海道/千歳市/美々","141.69029","42.78782","5","5"
,,,,ＥＤトロア,060-0062,北海道札幌市中央区南２条西４丁目,,,,011-241-9679,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/四丁目","141.35193","43.05763","5","6"
,,,,イエスタディ,080-0801,北海道帯広市東１条南１３丁目１０,,,,0155-26-2081,,,,,,,,,,,,"北海道/帯広市/東一条南/十三丁目/１０番地","143.20787","42.91765","5","7"
,,,,イエライシャン（夜来香）,080-0020,北海道帯広市西１０条南４０丁目４－１４,h.toi@f1.octv.ne.jp,http://homepage1.nifty.com/YE-LAI-XIANG,,0155-48-4944,,,,,,,,,,,,"北海道/帯広市/西十条南/四十丁目/４番","143.19377","42.88324","5","7"
,,,,五十嵐,060-0061,北海道札幌市中央区南１条西１丁目１３,,,,011-207-7373,,,,,,,,,,,,"北海道/札幌市/中央区/南一条西/一丁目/１３番地","141.35692","43.05933","5","7"
,,,,粋レストランカフェラウンジ,044-0081,北海道虻田郡倶知安町字山田１９０－４,,,,0136-55-8114,,,,,,,,,,,,"北海道/虻田郡/倶知安町/山田","140.71840","42.86109","5","5"
,,,,いぐれっく５・３,047-0033,北海道小樽市富岡１丁目１５－４,,,,0134-23-9891,,,,,,,,,,,,"北海道/小樽市/富岡/一丁目/１５番","140.99150","43.19398","5","7"
,,,,池田町町営レストラン十勝,083-0002,北海道中川郡池田町字清見８３,,http://www.tokachi.com/,,015-572-2467,,,,,,,,,,,,"北海道/中川郡/池田町/清見/８３番地","143.45732","42.91896","5","7"
,,,,イコロの森森の食卓トマティーヨ,059-1365,北海道苫小牧市字植苗５６５－１,,,,0144-52-1560,,,,,,,,,,,,"北海道/苫小牧市/植苗/５６５番地","141.65887","42.74266","5","7"
,,,,いしちゃんキッチン,061-0600,北海道樺戸郡浦臼町字キナウスナイ１９６－４６０,,,,0125-67-3310,,,,,,,,,,,,"北海道/樺戸郡/浦臼町/キナウスナイ","141.83897","43.45406","5","5"
,,,,石の家石焼ステーキ店,001-0902,北海道札幌市北区新琴似２条６丁目３－１０,,,,011-764-1129,,,,,,,,,,,,"北海道/札幌市/北区/新琴似二条/六丁目/３番","141.31915","43.10847","5","7"
,,,,泉屋イオン釧路店,088-0621,北海道釧路郡釧路町桂木１丁目１－７,,,,0154-38-6533,,,,,,,,,,,,"北海道/釧路郡/釧路町/桂木/一丁目/１番地","144.40480","43.00906","5","7"
,,,,いただき繕,064-0802,北海道札幌市中央区南２条西２３丁目２－１,,,,011-676-8436,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/二十三丁目/２番","141.32285","43.05449","5","7"
,,,,イタリア軒,085-0052,北海道釧路市中園町１１－４,,,,0154-22-8841,,,,,,,,,,,,"北海道/釧路市/中園町/１１番","144.38330","43.00753","5","7"
,,,,イタリア食堂・晴,090-0070,北海道北見市美山町西４丁目４９－１１２,,,,0157-33-1011,0157-33-1011,,,,,,,,,,,"北海道/北見市/美山町西/四丁目","143.88020","43.82584","5","6"
,,,,イタリア料理ラ・フォルケッタ,069-0832,北海道江別市西野幌９３－１７,,,,011-398-7694,,,,,,,,,,,,"北海道/江別市/西野幌","141.53960","43.05324","5","5"
,,,,イタリア料理ラリベラ,080-0016,北海道帯広市西６条南５丁目３－５,,,,0155-23-8858,,,,,,,,,,,,"北海道/帯広市/西六条南/五丁目/３番地","143.19559","42.92611","5","7"
,,,,イタリア料理オリゾンテ,060-0062,北海道札幌市中央区南２条西５丁目,,,,011-222-0021,,,,,,,,,,,,"北海道/札幌市/中央区/南二条西/五丁目","141.35049","43.05742","5","6"
,,,,イタリアンレストラン・カリン,068-0824,北海道岩見沢市日の出北１丁目２－１４,,,,0126-24-8001,,,,,,,,,,,,"北海道/岩見沢市/日の出北/一丁目/２番","141.78571","43.20996","5","7"
,,,,いちい,045-0031,北海道岩内郡共和町梨野舞納３３－３,,,,0135-62-2726,,,,,,,,,,,,"北海道/岩内郡/共和町/梨野舞納/３３番地","140.53688","42.98530","5","7"
